dist_name,n_pincode,invoice_amt
Eastern,400078,145597594.00
Eastern,401107,34649321.00
Eastern,400072,33737074.00
Eastern,400055,19872668.00
Eastern,416406,19506735.00
Eastern,400067,18852451.00
Eastern,400102,17680249.00
Eastern,400097,16972824.00
Eastern,400068,16415605.00
Eastern,400009,15748243.00
Eastern,400053,14890615.00
Eastern,400051,14425886.00
Eastern,400095,13779380.00
Eastern,440023,12543898.00
Eastern,400070,12210878.00
Eastern,400069,11818356.00
Eastern,400093,11619505.00
Eastern,400060,11456415.00
Eastern,400064,11455590.00
Eastern,401209,11272233.00
Eastern,400054,11263292.00
Eastern,400083,10876852.00
Eastern,431001,10666315.00
Eastern,400059,10419438.00
Eastern,400057,10113864.00
Eastern,401303,10094633.00
Eastern,400017,9894117.00
Eastern,401105,9727249.00
Eastern,122015,9679763.00
Eastern,400101,9584688.00
Eastern,400050,9525298.00
Eastern,400052,9374460.00
Eastern,400104,8785434.00
Eastern,401101,8742922.00
Eastern,422007,8339637.00
Eastern,396191,8088374.00
Eastern,400065,7941748.00
Eastern,401208,7925665.00
Eastern,400037,7854280.00
Eastern,400022,7469999.00
Eastern,400014,7217572.00
Eastern,400058,7179873.00
Eastern,400103,6728231.00
Eastern,400028,6657102.00
Eastern,560105,6635363.00
Eastern,400092,6597603.00
Eastern,400043,6595640.00
Eastern,400063,6346157.00
Eastern,400029,6192960.00
Eastern,400049,6113677.00
Eastern,421302,5965971.00
Eastern,400056,5844946.00
Eastern,401202,5760222.00
Eastern,400098,5737096.00
Eastern,400016,5723473.00
Eastern,400076,5622496.00
Eastern,401203,5501611.00
Eastern,400089,5295049.00
Eastern,400066,5163344.00
Eastern,400042,4981124.00
Eastern,400061,4868790.00
Eastern,396195,4809315.00
Eastern,400081,4764668.00
Eastern,400074,4601672.00
Eastern,400099,4572144.00
Eastern,400091,4519013.00
Eastern,400071,3982705.00
Eastern,400086,3917700.00
Eastern,410208,3868820.00
Eastern,400077,3794661.00
Eastern,401305,3638580.00
Eastern,403601,3566860.00
Eastern,400019,3441916.00
Eastern,400062,3433342.00
Eastern,400024,3282394.00
Eastern,400002,3097487.00
Eastern,400079,2678914.00
Eastern,401501,2585007.00
Eastern,400084,2518669.00
Eastern,400012,2233642.00
Eastern,401606,2218644.00
Eastern,400031,2117133.00
Eastern,400018,2089843.00
Eastern,369191,2056203.00
Eastern,400088,2027112.00
Eastern,400087,1973382.00
Eastern,440016,1849578.00
Eastern,400080,1792634.00
Eastern,396105,1698143.00
Eastern,400047,1580685.00
Eastern,401106,1437248.00
Eastern,400008,1386938.00
Eastern,421301,1375889.00
Eastern,396165,1275598.00
Eastern,421204,1263540.00
Eastern,400025,1207429.00
Eastern,401201,1133309.00
Eastern,401404,949993.00
Eastern,400075,895781.00
Eastern,600098,795954.00
Eastern,396210,787381.00
Eastern,752101,678037.00
Eastern,781034,669387.00
Eastern,400612,572660.00
Eastern,401017,528795.00
Eastern,396170,517543.00
Eastern,560026,516980.00
Eastern,400015,471354.00
Eastern,400013,465926.00
Eastern,400027,462962.00
Eastern,0,445274.00
Eastern,396155,434773.00
Eastern,421101,432096.00
Eastern,401102,406530.00
Eastern,180011,402131.00
Eastern,492006,396990.00
Eastern,396193,395008.00
Eastern,396145,375705.00
Eastern,396171,348599.00
Eastern,400001,339067.00
Eastern,401607,302376.00
Eastern,400082,289623.00
Eastern,401015,288346.00
Eastern,401104,282638.00
Eastern,110096,276092.00
Eastern,530011,263300.00
Eastern,401207,254598.00
Eastern,401602,252594.00
Eastern,122004,223978.00
Eastern,396230,215779.00
Eastern,400706,213637.00
Eastern,400005,212943.00
Eastern,396185,195055.00
Eastern,400030,191822.00
Eastern,452010,180833.00
Eastern,398193,167721.00
Eastern,410206,158962.00
Eastern,400090,148268.00
Eastern,416506,143687.00
Eastern,521225,128502.00
Eastern,400003,128342.00
Eastern,366191,124232.00
Eastern,401103,113181.00
Eastern,160002,111903.00
Eastern,759145,106009.00
Eastern,410209,103677.00
Eastern,401506,86712.00
Eastern,400096,77381.00
Eastern,401016,75084.00
Eastern,401301,74889.00
Eastern,400705,67436.00
Eastern,401304,62431.00
Eastern,500037,61062.00
Eastern,380001,55902.00
Eastern,396215,53037.00
Eastern,400035,50494.00
Eastern,396130,45824.00
Eastern,401702,39613.00
Eastern,401504,38134.00
Eastern,396321,37720.00
Eastern,284003,37449.00
Eastern,700114,36456.00
Eastern,641030,28421.00
Eastern,396150,24302.00
Eastern,,23743.00
Eastern,396055,18746.00
Eastern,110064,18596.00
Eastern,226010,16811.00
Eastern,400020,16122.00
Eastern,400073,15418.00
Eastern,570024,15352.00
Eastern,401206,14232.00
Eastern,410203,13947.00
Eastern,421201,13630.00
Eastern,221302,12814.00
Eastern,577005,11149.00
Eastern,800011,10096.00
Eastern,401484,9645.00
Eastern,211019,7870.00
Eastern,471431,6390.00
Eastern,410210,5941.00
Eastern,577201,5096.00
Eastern,400701,4861.00
Eastern,411037,4116.00
Eastern,401601,3684.00
Eastern,396235,3228.00
Eastern,763008,3152.00
Eastern,410218,2940.00
Eastern,402107,2674.00
Eastern,590006,2481.00
Eastern,751013,2438.00
Eastern,400614,1531.00
Eastern,605009,1217.00
Eastern,400007,650.00
Eastern,400709,494.00
Eastern,400703,456.00
Eastern,410101,411.00
Eastern,410406,292.00
Eastern,402207,130.00
Eastern,400011,102.00
